2026-06-24 15:04:58 [main] INFO  BtaLargeReports - Clicked the Large Report Section
2026-06-24 15:04:59 [main] INFO  BtaMonthlyStatement - Clicked the Monthly Statement Section
2026-06-24 15:05:01 [main] INFO  BtaPaymentAllocation - Clicked the Payment Allocation Section
2026-06-24 15:05:03 [main] INFO  BtaAuditTrail - Clicked the Audit Trail Section
2026-06-24 15:05:06 [main] INFO  Hooks - ========== UI Test Finished: Verify BTA functionality for Corporate Sub Admin User ==========
2026-06-24 15:05:06 [main] INFO  ExtentReportManager - ✓ Test PASSED: Verify BTA functionality for Corporate Sub Admin User
2026-06-24 15:05:08 [main] INFO  WebDriverManagerUtil - Browser closed and ThreadLocal cleared.
2026-06-24 15:05:08 [main] INFO  Hooks - Browser closed
2026-06-24 15:05:08 [main] INFO  ExtentReportManager - ExtentReport flushed → logs/reports/ExtentReport_24-06-2026_15-03-26.html
2026-06-24 15:05:08 [main] INFO  Hooks - ========== UI Test Started: Verify BTA functionality for Corporate User ==========
2026-06-24 15:05:08 [main] INFO  ExtentReportManager - Test created in ExtentReport: Verify BTA functionality for Corporate User
2026-06-24 15:05:08 [main] INFO  ExtentReportManager - Test Started
2026-06-24 15:05:08 [main] INFO  WebDriverManager - Using chromedriver 149.0.7827.155 (resolved driver for Chrome 149)
2026-06-24 15:05:08 [main] INFO  WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\V00450\.cache\selenium\chromedriver\win64\149.0.7827.155\chromedriver.exe
2026-06-24 15:05:11 [main] INFO  WebDriverManagerUtil - Browser initialized: chrome
2026-06-24 15:05:11 [main] INFO  Hooks - Browser initialized
2026-06-24 15:05:11 [main] INFO  ExtentReportManager - ✓ Browser initialized successfully
2026-06-24 15:05:15 [main] INFO  WebDriverManagerUtil - Navigated to: http://localhost:4203
2026-06-24 15:05:15 [main] INFO  BTALoginSteps - Navigated to BTA Portal
2026-06-24 15:05:15 [main] INFO  BTALoginSteps - Entered username and password
2026-06-24 15:05:16 [main] INFO  BTALoginSteps - Clicked login button
2026-06-24 15:05:16 [main] INFO  BTALoginSteps - Home page landed successfully
2026-06-24 15:05:17 [main] INFO  UiHelper - ✓ All 5 elements are successfully displayed
2026-06-24 15:05:17 [main] INFO  ExtentReportManager - ✓ ✓ All 5 elements are successfully displayed
2026-06-24 15:05:18 [main] INFO  BtaMemoStatement - Clicked the Memo Statement Section
2026-06-24 15:05:19 [main] INFO  BtaMemoStatement - Clicked Excel download button
2026-06-24 15:05:23 [main] INFO  BtaUserManagementSteps - Waited for few seconds to observe the result
2026-06-24 15:05:23 [main] INFO  BtaLargeReports - Clicked the Large Report Section
2026-06-24 15:05:25 [main] INFO  BtaMonthlyStatement - Clicked the Monthly Statement Section
2026-06-24 15:05:28 [main] INFO  BtaPaymentAllocation - Clicked the Payment Allocation Section
2026-06-24 15:05:29 [main] INFO  BtaAuditTrail - Clicked the Audit Trail Section
2026-06-24 15:05:32 [main] INFO  Hooks - ========== UI Test Finished: Verify BTA functionality for Corporate User ==========
2026-06-24 15:05:32 [main] INFO  ExtentReportManager - ✓ Test PASSED: Verify BTA functionality for Corporate User
